S.No:,Contract No:,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
4856,'2020102904004530',GIC,17,55,10,561,5610.00
4857,'2020102903008745',NADEP,37,26,23,677,15571.00
4858,'2020102901023363',SANIMA,52,55,150,353,52950.00
4859,'2020102901023362',NABIL,48,3,150,900,135000.00
4860,'2020102903008744',ILBS,50,25,11,815,8965.00
4861,'2020102903008743',ILBS,50,57,11,814,8954.00
4862,'2020102901023361',AIL,10,51,10,510,5100.00
4863,'2020102901023360',SHIVM,46,42,50,755,37750.00
4864,'2020102901023359',JOSHI,59,26,20,124,2480.00
4865,'2020102903008742',RLI,25,47,10,591,5910.00
4866,'2020102901023358',PCBL,43,13,100,333,33300.00
4867,'2020102903008741',FMDBL,49,17,10,582,5820.00
4868,'2020102903008740',FMDBL,49,51,100,582,58200.00
4869,'2020102904004529',GIC,17,32,10,561,5610.00
4870,'2020102901023357',PCBL,43,4,150,333,49950.00
4871,'2020102901023356',CZBIL,48,7,1109,238,263942.00
4872,'2020102903008739',NRN,6,59,10,347,3470.00
4873,'2020102901023355',ADBL,58,34,50,473,23650.00
4874,'2020102904004528',GIC,17,34,10,561,5610.00
4875,'2020102901023354',LEC,52,22,10,205,2050.00
4876,'2020102903008738',RLI,25,16,10,591,5910.00
4877,'2020102903008737',RLI,25,26,10,591,5910.00
4878,'2020102903008736',MDB,44,36,415,388,161020.00
4879,'2020102901023353',SCB,52,32,60,683,40980.00
4880,'2020102901023352',SCB,22,32,252,683,172116.00
4881,'2020102901023351',BOKL,47,14,40,286,11440.00
4882,'2020102901023350',API,25,17,29,226,6554.00
4883,'2020102901023349',API,25,17,472,226,106672.00
4884,'2020102901023348',SBL,45,54,339,345,116955.00
4885,'2020102901023347',HURJA,58,26,20,176,3520.00
4886,'2020102903008735',RLI,25,48,10,591,5910.00
4887,'2020102903008734',SIFC,34,8,100,199,19900.00
4888,'2020102901023346',RRHP,33,17,10,197,1970.00
4889,'2020102903008733',MPFL,55,41,100,143,14300.00
4890,'2020102903008732',SADBL,48,53,100,192,19200.00
4891,'2020102903008731',SADBL,48,14,100,192,19200.00
4892,'2020102903008730',SADBL,48,6,500,192,96000.00
4893,'2020102903008729',SADBL,48,57,306,192,58752.00
4894,'2020102903008728',RLI,25,11,10,591,5910.00
4895,'2020102904004527',RBCLPO,59,54,100,11169,1116900.00
4896,'2020102901023345',SICL,52,14,100,1364,136400.00
4897,'2020102901023344',SICL,40,14,200,1364,272800.00
4898,'2020102901023343',SICL,42,14,200,1365,273000.00
4899,'2020102901023342',SBL,33,54,100,345,34500.00
4900,'2020102901023341',SBL,36,54,500,345,172500.00
4901,'2020102901023340',SBL,40,54,61,345,21045.00
4902,'2020102903008727',RLI,25,19,10,591,5910.00
4903,'2020102903008726',HIDCL,38,52,83,202,16766.00
4904,'2020102903008725',HIDCL,35,52,20,202,4040.00
4905,'2020102901023339',RHPL,56,58,49,214,10486.00
4906,'2020102901023338',RHPL,49,58,1000,214,214000.00
4907,'2020102901023337',RHPL,11,58,300,214,64200.00
4908,'2020102901023336',RHPL,34,58,450,214,96300.00
4909,'2020102901023335',RHPL,14,58,500,214,107000.00
4910,'2020102901023334',RHPL,54,58,520,214,111280.00
4911,'2020102901023333',RHPL,28,58,1000,215,215000.00
4912,'2020102901023332',RHPL,35,58,1181,215,253915.00
4913,'2020102901023331',PCBL,43,43,167,333,55611.00
4914,'2020102901023330',PCBL,34,43,300,333,99900.00
4915,'2020102901023329',PCBL,42,43,33,333,10989.00
4916,'2020102901023328',GHL,16,26,20,125,2500.00
4917,'2020102904004526',GIC,17,43,10,561,5610.00
4918,'2020102901023327',PRVU,49,49,10,264,2640.00
4919,'2020102901023326',SCB,51,32,10,684,6840.00
4920,'2020102904004525',KBLD86,21,42,25,1035,25875.00
4921,'2020102903008724',VLBS,50,41,17,923,15691.00
4922,'2020102903008723',VLBS,51,41,50,923,46150.00
4923,'2020102903008722',VLBS,22,41,20,923,18460.00
4924,'2020102903008721',NLIC,28,59,100,1410,141000.00
4925,'2020102901023325',SBL,40,7,200,345,69000.00
4926,'2020102901023324',SANIMA,44,52,87,352,30624.00
4927,'2020102901023323',SANIMA,53,52,113,352,39776.00
4928,'2020102901023322',NCCB,32,39,818,238,194684.00
4929,'2020102901023321',NCCB,10,39,600,238,142800.00
4930,'2020102901023320',NCCB,41,39,582,239,139098.00
4931,'2020102903008720',UFL,19,5,100,242,24200.00
4932,'2020102904004524',GIC,17,35,10,561,5610.00
4933,'2020102901023319',UMHL,57,26,100,165,16500.00
4934,'2020102901023318',SRBL,58,34,288,268,77184.00
4935,'2020102903008719',DDBL,45,36,100,912,91200.00
4936,'2020102903008718',DDBL,5,36,76,912,69312.00
4937,'2020102901023317',API,25,26,18,226,4068.00
4938,'2020102903008717',NRN,6,47,10,347,3470.00
4939,'2020102901023316',RHPL,35,59,40,215,8600.00
4940,'2020102901023315',SBL,45,34,550,347,190850.00
4941,'2020102901023314',SBL,45,47,250,347,86750.00
4942,'2020102901023313',SBL,45,52,200,347,69400.00
4943,'2020102901023312',SBL,45,6,72,347,24984.00
4944,'2020102901023311',SBL,45,48,547,347,189809.00
4945,'2020102903008716',HIDCL,35,42,61,202,12322.00
4946,'2020102901023310',GBIME,35,26,50,298,14900.00
4947,'2020102901023309',DHPL,58,25,791,118,93338.00
4948,'2020102901023308',DHPL,58,41,4775,118,563450.00
4949,'2020102901023307',DHPL,58,45,500,118,59000.00
4950,'2020102901023306',DHPL,58,22,150,118,17700.00
4951,'2020102901023305',DHPL,58,58,1000,118,118000.00
4952,'2020102901023304',DHPL,58,54,639,117,74763.00
4953,'2020102901023303',HDHPC,49,45,200,140,28000.00
4954,'2020102901023302',UMHL,37,22,101,164,16564.00
4955,'2020102903008715',LLBS,50,57,40,1129,45160.00
4956,'2020102901023301',UMHL,37,18,179,164,29356.00
4957,'2020102901023300',UMHL,44,18,200,164,32800.00
4958,'2020102901023299',UMHL,3,18,500,164,82000.00
4959,'2020102901023298',UMHL,3,18,121,164,19844.00
4960,'2020102901023297',UMHL,52,18,1000,164,164000.00
4961,'2020102901023296',AIL,25,58,10,510,5100.00
4962,'2020102901023295',GBIME,33,34,500,297,148500.00
4963,'2020102903008714',NLIC,28,7,425,1410,599250.00
4964,'2020102904004523',GIC,17,42,10,561,5610.00
4965,'2020102901023294',RRHP,33,17,10,197,1970.00
4966,'2020102904004522',GIC,17,4,10,561,5610.00
4967,'2020102901023293',AKPL,8,58,1365,260,354900.00
4968,'2020102901023292',AKPL,8,58,1500,260,390000.00
4969,'2020102901023291',AKPL,8,58,1500,260,390000.00
4970,'2020102901023290',AKPL,28,58,635,260,165100.00
4971,'2020102901023289',AKJCL,25,26,20,118,2360.00
4972,'2020102903008713',LLBS,7,16,60,1126,67560.00
4973,'2020102901023288',SBI,49,54,117,445,52065.00
4974,'2020102901023287',SBI,21,54,127,445,56515.00
4975,'2020102901023286',PMHPL,49,35,100,141,14100.00
4976,'2020102901023285',PMHPL,37,35,500,141,70500.00
4977,'2020102901023284',PMHPL,17,35,640,141,90240.00
4978,'2020102901023283',NABIL,45,11,16,900,14400.00
4979,'2020102903008712',SWBBL,14,45,19,1277,24263.00
4980,'2020102903008711',SWBBL,14,7,82,1277,104714.00
4981,'2020102901023282',UMHL,3,18,79,164,12956.00
4982,'2020102901023281',UMHL,40,18,600,164,98400.00
4983,'2020102901023280',UMHL,52,18,108,164,17712.00
4984,'2020102901023279',UMHL,45,18,300,164,49200.00
4985,'2020102901023278',UMHL,28,18,105,164,17220.00
4986,'2020102901023277',NIL,49,16,429,821,352209.00
4987,'2020102901023276',SBL,45,14,261,346,90306.00
4988,'2020102901023275',SBL,45,29,100,346,34600.00
4989,'2020102901023274',SBL,45,50,500,346,173000.00
4990,'2020102901023273',SBL,45,45,100,346,34600.00
4991,'2020102901023272',SBL,45,34,480,346,166080.00
4992,'2020102901023271',BOKL,26,14,10,286,2860.00
4993,'2020102903008710',NRIC,58,47,40,865,34600.00
4994,'2020102903008709',NRIC,58,42,10,865,8650.00
4995,'2020102903008708',NRIC,58,11,40,865,34600.00
4996,'2020102903008707',NRIC,58,47,50,865,43250.00
4997,'2020102903008706',NRIC,58,46,100,865,86500.00
4998,'2020102903008705',NRIC,58,41,10,865,8650.00
4999,'2020102904004521',GIC,17,41,10,561,5610.00
5000,'2020102901023270',GBIME,40,29,200,297,59400.00
5001,'2020102903008704',UFL,19,4,131,242,31702.00
5002,'2020102904004520',GIC,17,42,10,561,5610.00
5003,'2020102901023269',GBIME,29,26,300,298,89400.00
5004,'2020102903008703',RLI,25,48,10,591,5910.00
5005,'2020102901023268',NABIL,32,49,50,901,45050.00
5006,'2020102901023267',NLG,13,58,11,719,7909.00
5007,'2020102901023266',NLG,13,37,125,719,89875.00
5008,'2020102901023265',NLG,13,19,32,719,23008.00
5009,'2020102903008702',CIT,35,41,259,3715,962185.00
5010,'2020102901023264',UPPER,22,42,40,294,11760.00
5011,'2020102901023263',AKJCL,25,44,20,118,2360.00
5012,'2020102901023262',RRHP,33,17,10,197,1970.00
5013,'2020102903008701',GBBL,35,34,300,275,82500.00
5014,'2020102903008700',SHINE,39,21,50,277,13850.00
5015,'2020102903008699',RLI,25,59,10,591,5910.00
5016,'2020102904004519',GIC,17,58,10,561,5610.00
5017,'2020102903008698',KMCDB,19,47,10,730,7300.00
5018,'2020102903008697',SDLBSL,50,57,10,826,8260.00
5019,'2020102903008696',LLBS,7,57,20,1126,22520.00
5020,'2020102901023261',HDHPC,36,49,1000,140,140000.00
5021,'2020102901023260',SBL,40,34,58,345,20010.00
5022,'2020102904004518',GIC,17,56,10,561,5610.00
5023,'2020102901023259',CHL,39,52,11,160,1760.00
5024,'2020102903008695',SDLBSL,50,21,10,826,8260.00
5025,'2020102903008694',SLICL,6,48,50,618,30900.00
5026,'2020102903008693',SLICL,25,48,20,618,12360.00
5027,'2020102901023258',PCBL,14,44,100,334,33400.00
5028,'2020102903008692',CIT,41,41,50,3715,185750.00
5029,'2020102904004517',GIC,17,17,10,561,5610.00
5030,'2020102901023257',LEC,52,49,10,205,2050.00
5031,'2020102901023256',PRVU,54,44,940,262,246280.00
5032,'2020102901023255',PRVU,1,44,60,263,15780.00
5033,'2020102901023254',LBL,59,14,200,283,56600.00
5034,'2020102901023253',RBCL,7,10,10,12156,121560.00
5035,'2020102901023252',RBCL,19,10,10,12157,121570.00
5036,'2020102901023251',RBCL,3,10,40,12200,488000.00
5037,'2020102901023250',RBCL,7,10,10,12201,122010.00
5038,'2020102901023249',RBCL,38,10,40,12240,489600.00
5039,'2020102903008691',GLBSL,29,47,10,703,7030.00
5040,'2020102903008690',NLBSL,50,41,25,1021,25525.00
5041,'2020102903008689',NLBSL,50,34,15,1021,15315.00
5042,'2020102901023248',CBL,41,16,63,177,11151.00
5043,'2020102901023247',RRHP,33,40,20,197,3940.00
5044,'2020102901023246',RRHP,33,58,10,197,1970.00
5045,'2020102901023245',SJCL,49,59,20,196,3920.00
5046,'2020102901023244',MEGA,57,14,100,240,24000.00
5047,'2020102901023243',NBL,6,58,250,346,86500.00
5048,'2020102901023242',NBL,43,58,510,346,176460.00
5049,'2020102901023241',MBL,4,34,500,236,118000.00
5050,'2020102903008688',MFIL,55,57,100,332,33200.00
5051,'2020102901023240',NICA,16,7,100,620,62000.00
5052,'2020102901023239',NICA,58,7,17,620,10540.00
5053,'2020102903008687',FMDBL,33,25,30,581,17430.00
5054,'2020102901023238',BOKL,47,14,80,286,22880.00
5055,'2020102901023237',PCBL,42,54,17,333,5661.00
5056,'2020102901023236',PCBL,52,54,100,333,33300.00
5057,'2020102901023235',PCBL,40,54,300,333,99900.00
5058,'2020102903008686',RLI,25,48,10,591,5910.00
5059,'2020102901023234',NHPC,47,20,100,112,11200.00
5060,'2020102901023233',MEGA,57,59,378,240,90720.00
5061,'2020102901023232',MEGA,40,59,300,240,72000.00
5062,'2020102904004516',LEMF,25,29,700,9.17,6419.00
5063,'2020102901023231',ADBL,6,34,163,473,77099.00
5064,'2020102901023230',HGI,51,8,10,512,5120.00
5065,'2020102904004515',GIC,17,49,10,561,5610.00
5066,'2020102901023229',NBB,29,35,500,236,118000.00
5067,'2020102903008685',GBBL,4,13,86,274,23564.00
5068,'2020102903008684',GBBL,56,13,18,274,4932.00
5069,'2020102903008683',GBBL,51,13,119,274,32606.00
5070,'2020102903008682',GBBL,26,13,500,274,137000.00
5071,'2020102903008681',GBBL,4,13,70,274,19180.00
5072,'2020102903008680',NRN,6,48,270,347,93690.00
5073,'2020102901023228',CCBL,51,49,99,199,19701.00
5074,'2020102903008679',NLIC,28,33,286,1410,403260.00
5075,'2020102903008678',NLIC,28,33,320,1410,451200.00
5076,'2020102903008677',LBBL,17,56,1000,226,226000.00
5077,'2020102904004514',GIC,17,17,10,561,5610.00
5078,'2020102901023227',NMB,41,34,50,433,21650.00
5079,'2020102901023226',HDL,47,16,50,1877,93850.00
5080,'2020102903008676',GBBL,14,34,50,275,13750.00
5081,'2020102901023225',NABIL,45,7,40,900,36000.00
5082,'2020102901023224',NABIL,58,7,60,900,54000.00
5083,'2020102901023223',CCBL,51,34,230,199,45770.00
5084,'2020102901023222',CCBL,43,34,170,199,33830.00
5085,'2020102903008675',RLI,25,17,30,591,17730.00
5086,'2020102901023221',UPPER,22,48,50,294,14700.00
5087,'2020102901023220',UPPER,22,29,250,294,73500.00
5088,'2020102901023219',UPPER,22,45,50,294,14700.00
5089,'2020102901023218',UPPER,22,58,30,294,8820.00
5090,'2020102901023217',UPPER,22,45,50,294,14700.00
5091,'2020102901023216',UPPER,22,20,50,294,14700.00
5092,'2020102901023215',UPPER,22,26,182,294,53508.00
5093,'2020102901023214',UPPER,22,19,40,294,11760.00
5094,'2020102903008674',JFL,55,36,1108,218,241544.00
5095,'2020102903008673',JFL,49,36,50,218,10900.00
5096,'2020102903008672',JFL,34,36,202,219,44238.00
5097,'2020102903008671',JFL,57,36,100,219,21900.00
5098,'2020102903008670',JFL,42,36,40,220,8800.00
5099,'2020102901023213',SJCL,49,47,20,196,3920.00
5100,'2020102901023212',MEGA,40,54,200,240,48000.00
5101,'2020102901023211',MEGA,34,54,100,240,24000.00
5102,'2020102901023210',MEGA,58,54,100,241,24100.00
5103,'2020102901023209',PCBL,16,44,270,334,90180.00
5104,'2020102904004513',GIC,17,58,10,561,5610.00
5105,'2020102904004512',GIC,17,40,10,561,5610.00
5106,'2020102904004511',GIC,17,42,10,561,5610.00
5107,'2020102901023208',PRVU,48,50,380,263,99940.00
5108,'2020102901023207',BOKL,13,14,10,286,2860.00
5109,'2020102901023206',LEC,51,39,10,204,2040.00
5110,'2020102901023205',CZBIL,48,34,267,238,63546.00
5111,'2020102901023204',CZBIL,47,34,53,238,12614.00
5112,'2020102901023203',AHPC,39,5,10,234,2340.00
5113,'2020102903008669',SDLBSL,50,21,10,826,8260.00
5114,'2020102904004510',GIC,59,35,10,560,5600.00
5115,'2020102901023202',NBB,26,35,20,236,4720.00
5116,'2020102901023201',AKJCL,25,41,50,118,5900.00
5117,'2020102901023200',GBIME,40,44,19,297,5643.00
5118,'2020102901023199',GBIME,52,44,100,297,29700.00
5119,'2020102901023198',GBIME,34,44,381,297,113157.00
5120,'2020102901023197',MBL,4,34,1000,236,236000.00
5121,'2020102901023196',PCBL,58,43,43,335,14405.00
5122,'2020102904004509',GIC,59,17,10,560,5600.00
5123,'2020102901023195',CZBIL,47,55,27,238,6426.00
5124,'2020102901023194',CZBIL,20,55,100,238,23800.00
5125,'2020102901023193',CZBIL,47,55,50,238,11900.00
5126,'2020102901023192',CZBIL,47,55,40,238,9520.00
5127,'2020102901023191',LEC,39,42,10,205,2050.00
5128,'2020102901023190',LEC,39,17,180,205,36900.00
5129,'2020102903008668',SIFC,25,8,100,199,19900.00
5130,'2020102903008667',RLI,25,47,10,591,5910.00
5131,'2020102901023189',NIB,3,22,144,441,63504.00
5132,'2020102903008666',CIT,41,41,100,3715,371500.00
5133,'2020102903008665',GRDBL,55,41,50,157,7850.00
5134,'2020102901023188',MEGA,46,56,250,242,60500.00
5135,'2020102903008664',NLIC,26,53,50,1411,70550.00
5136,'2020102901023187',DHPL,58,42,11,117,1287.00
5137,'2020102901023186',KPCL,48,40,10,178,1780.00
5138,'2020102901023185',SBL,40,34,181,345,62445.00
5139,'2020102901023184',SBL,58,34,51,345,17595.00
5140,'2020102901023183',SBL,14,34,768,345,264960.00
5141,'2020102901023182',HBL,22,25,59,614,36226.00
5142,'2020102901023181',HBL,22,49,191,614,117274.00
5143,'2020102901023180',MEGA,34,32,500,240,120000.00
5144,'2020102903008663',DDBL,5,34,24,912,21888.00
5145,'2020102903008662',NLICL,26,28,500,777,388500.00
5146,'2020102903008661',RLI,25,48,10,591,5910.00
5147,'2020102901023179',PRVU,42,50,200,263,52600.00
5148,'2020102901023178',PRVU,42,41,200,263,52600.00
5149,'2020102901023177',NABIL,6,43,46,901,41446.00
5150,'2020102903008660',JBBL,51,7,500,215,107500.00
5151,'2020102901023176',RHPL,35,47,30,215,6450.00
5152,'2020102901023175',HBL,35,58,144,612,88128.00
5153,'2020102901023174',NICA,58,41,310,621,192510.00
5154,'2020102901023173',NICA,58,55,1000,621,621000.00
5155,'2020102901023172',NICA,58,51,190,621,117990.00
5156,'2020102901023171',NICA,58,50,500,621,310500.00
5157,'2020102901023170',SBL,56,34,100,346,34600.00
5158,'2020102901023169',NMB,17,34,50,433,21650.00
5159,'2020102901023168',ADBL,36,34,110,473,52030.00
5160,'2020102903008659',NLIC,26,35,50,1411,70550.00
5161,'2020102901023167',CHL,39,5,60,160,9600.00
5162,'2020102901023166',CHL,45,5,150,160,24000.00
5163,'2020102903008658',SHINE,44,21,288,277,79776.00
5164,'2020102903008657',SADBL,13,57,500,192,96000.00
5165,'2020102904004508',GIC,59,17,10,560,5600.00
5166,'2020102901023165',MBL,4,50,408,236,96288.00
5167,'2020102901023164',MBL,4,28,500,236,118000.00
5168,'2020102901023163',MBL,4,34,500,236,118000.00
5169,'2020102901023162',GBIME,34,49,119,297,35343.00
5170,'2020102901023161',GBIME,37,49,61,297,18117.00
5171,'2020102903008656',NRN,6,39,10,347,3470.00
5172,'2020102903008655',KSBBL,58,7,200,230,46000.00
5173,'2020102904004507',BBC,45,11,100,1720,172000.00
5174,'2020102903008654',MERO,36,1,130,758,98540.00
5175,'2020102903008653',MERO,36,35,20,757,15140.00
5176,'2020102901023160',AIL,25,42,10,510,5100.00
5177,'2020102901023159',SCB,22,21,298,683,203534.00
5178,'2020102903008652',NRN,6,47,10,347,3470.00
5179,'2020102901023158',NICA,58,37,872,620,540640.00
5180,'2020102901023157',NICA,58,45,300,620,186000.00
5181,'2020102901023156',NICA,58,46,145,620,89900.00
5182,'2020102901023155',NICA,58,45,37,620,22940.00
5183,'2020102901023154',NICA,58,32,500,620,310000.00
5184,'2020102901023153',NICA,58,41,190,620,117800.00
5185,'2020102901023152',NICA,58,22,500,620,310000.00
5186,'2020102901023151',NICA,58,53,50,620,31000.00
5187,'2020102901023150',NICA,58,55,99,619,61281.00
5188,'2020102901023149',NICA,58,54,3000,619,1857000.00
5189,'2020102901023148',NICA,58,45,2290,619,1417510.00
5190,'2020102903008651',MLBBL,26,56,25,745,18625.00
5191,'2020102901023147',GBIME,55,26,567,298,168966.00
5192,'2020102901023146',GBIME,55,19,50,298,14900.00
5193,'2020102901023145',GBIME,55,5,383,298,114134.00
5194,'2020102901023144',NABIL,51,43,10,901,9010.00
5195,'2020102901023143',PMHPL,17,1,10,141,1410.00
5196,'2020102901023142',MEGA,25,32,500,240,120000.00
5197,'2020102903008650',CIT,49,41,850,3715,3157750.00
5198,'2020102903008649',CIT,28,41,10,3715,37150.00
5199,'2020102903008648',CIT,35,41,10,3715,37150.00
5200,'2020102903008647',CIT,52,41,10,3716,37160.00
5201,'2020102903008646',CIT,35,41,50,3716,185800.00
5202,'2020102903008645',CIT,37,41,20,3720,74400.00
5203,'2020102903008644',CIT,51,41,10,3721,37210.00
5204,'2020102901023141',SBL,17,34,492,345,169740.00
5205,'2020102901023140',NICA,4,33,200,618,123600.00
5206,'2020102901023139',NICA,4,34,22,618,13596.00
5207,'2020102901023138',HDL,47,35,200,1877,375400.00
5208,'2020102901023137',NICA,52,34,1978,618,1222404.00
5209,'2020102901023136',NICA,52,52,22,618,13596.00
5210,'2020102901023135',MHNL,49,28,500,185,92500.00
5211,'2020102901023134',CBL,19,16,188,177,33276.00
5212,'2020102903008643',RLI,25,39,10,591,5910.00
5213,'2020102901023133',AHPC,44,10,50,233,11650.00
5214,'2020102901023132',SHIVM,58,42,422,755,318610.00
5215,'2020102901023131',PRVU,58,41,100,263,26300.00
5216,'2020102901023130',PRVU,50,41,250,263,65750.00
5217,'2020102901023129',PRVU,3,41,450,263,118350.00
5218,'2020102901023128',BOKL,36,14,50,286,14300.00
5219,'2020102901023127',UPCL,43,34,50,137,6850.00
5220,'2020102904004506',GIC,59,17,10,560,5600.00
5221,'2020102903008642',SLICL,4,51,1100,617,678700.00
5222,'2020102903008641',SLICL,38,51,200,617,123400.00
5223,'2020102903008640',SLICL,26,51,100,617,61700.00
5224,'2020102903008639',SLICL,6,51,100,618,61800.00
5225,'2020102903008638',RLI,25,48,10,591,5910.00
5226,'2020102903008637',NRN,6,34,110,347,38170.00
5227,'2020102901023126',CBL,19,26,245,177,43365.00
5228,'2020102901023125',DHPL,58,8,500,117,58500.00
5229,'2020102901023124',DHPL,58,54,300,117,35100.00
5230,'2020102901023123',DHPL,58,54,300,117,35100.00
5231,'2020102901023122',DHPL,58,54,250,117,29250.00
5232,'2020102901023121',CBL,19,41,46,177,8142.00
5233,'2020102904004505',GIC,45,40,10,561,5610.00
5234,'2020102903008636',GBBL,4,45,50,274,13700.00
5235,'2020102901023120',API,25,42,10,226,2260.00
5236,'2020102901023119',KBL,49,43,295,239,70505.00
5237,'2020102901023118',KBL,13,43,100,239,23900.00
5238,'2020102901023117',KBL,38,43,500,239,119500.00
5239,'2020102901023116',KBL,47,43,500,239,119500.00
5240,'2020102901023115',KBL,55,43,150,239,35850.00
5241,'2020102901023114',KBL,46,43,100,239,23900.00
5242,'2020102901023113',KBL,1,43,300,239,71700.00
5243,'2020102901023112',KBL,38,43,300,239,71700.00
5244,'2020102901023111',KBL,41,43,30,239,7170.00
5245,'2020102901023110',KBL,43,43,209,239,49951.00
5246,'2020102901023109',KBL,6,43,71,239,16969.00
5247,'2020102903008635',MLBBL,32,56,100,746,74600.00
5248,'2020102903008634',MLBBL,34,56,55,746,41030.00
5249,'2020102901023108',KPCL,48,45,50,178,8900.00
5250,'2020102901023107',KPCL,48,41,10,178,1780.00
5251,'2020102901023106',KPCL,48,44,10,178,1780.00
5252,'2020102901023105',KPCL,48,38,10,178,1780.00
5253,'2020102901023104',KPCL,48,44,10,178,1780.00
5254,'2020102901023103',KPCL,48,58,10,178,1780.00
5255,'2020102901023102',HDHPC,36,44,500,140,70000.00
5256,'2020102901023101',SBL,17,44,508,345,175260.00
5257,'2020102901023100',SBL,45,44,492,345,169740.00
5258,'2020102903008633',NRN,6,42,210,347,72870.00
5259,'2020102901023099',AKPL,28,49,10,260,2600.00
5260,'2020102901023098',NIB,35,22,79,441,34839.00
5261,'2020102901023097',NIB,35,48,221,441,97461.00
5262,'2020102903008632',NLIC,42,35,50,1411,70550.00
5263,'2020102903008631',NLIC,42,55,20,1411,28220.00
5264,'2020102901023096',RRHP,33,22,10,196,1960.00
5265,'2020102901023095',PPCL,41,42,10,178,1780.00
5266,'2020102901023094',PIC,29,22,100,789,78900.00
5267,'2020102903008630',SDLBSL,50,39,10,826,8260.00
5268,'2020102903008629',CIT,6,41,10,3725,37250.00
5269,'2020102903008628',MLBBL,47,7,3,747,2241.00
5270,'2020102903008627',MLBBL,47,26,27,747,20169.00
5271,'2020102901023093',AIL,25,47,10,510,5100.00
5272,'2020102901023092',LEC,39,34,60,205,12300.00
5273,'2020102901023091',LEC,39,42,40,205,8200.00
5274,'2020102901023090',LEC,39,4,20,205,4100.00
5275,'2020102901023089',NBL,33,58,50,347,17350.00
5276,'2020102901023088',NABIL,8,43,40,901,36040.00
5277,'2020102901023087',SANIMA,40,57,100,353,35300.00
5278,'2020102901023086',SANIMA,40,58,293,353,103429.00
5279,'2020102901023085',SANIMA,40,44,1000,353,353000.00
5280,'2020102901023084',SANIMA,40,57,4000,353,1412000.00
5281,'2020102901023083',SANIMA,40,19,150,353,52950.00
5282,'2020102901023082',SANIMA,40,35,80,353,28240.00
5283,'2020102901023081',SANIMA,40,4,500,353,176500.00
5284,'2020102901023080',SANIMA,40,7,151,353,53303.00
5285,'2020102901023079',SANIMA,40,22,896,353,316288.00
5286,'2020102901023078',UIC,17,3,5,422,2110.00
5287,'2020102901023077',UIC,26,3,50,422,21100.00
5288,'2020102901023076',UIC,8,3,60,422,25320.00
5289,'2020102901023075',UIC,49,3,35,422,14770.00
5290,'2020102901023074',SJCL,49,29,10,196,1960.00
5291,'2020102904004504',GIC,45,28,10,561,5610.00
5292,'2020102903008626',LBBL,17,54,400,226,90400.00
5293,'2020102904004503',GIC,45,54,10,561,5610.00
5294,'2020102904004502',GIC,45,17,10,561,5610.00
5295,'2020102901023073',API,53,34,282,227,64014.00
5296,'2020102901023072',SANIMA,53,25,100,352,35200.00
5297,'2020102903008625',RLI,25,48,10,591,5910.00
5298,'2020102904004501',GIC,45,40,10,561,5610.00
5299,'2020102903008624',NLICL,26,37,204,778,158712.00
5300,'2020102903008623',NLICL,26,57,200,778,155600.00
5301,'2020102903008622',NLICL,26,39,96,778,74688.00
5302,'2020102901023071',SBL,45,54,100,345,34500.00
5303,'2020102901023070',UPPER,7,56,70,293,20510.00
5304,'2020102901023069',NICA,43,34,240,617,148080.00
5305,'2020102903008621',MDB,5,14,144,389,56016.00
5306,'2020102904004500',GIC,45,28,10,561,5610.00
5307,'2020102903008620',NLICL,35,53,350,776,271600.00
5308,'2020102903008619',MLBBL,50,26,100,748,74800.00
5309,'2020102901023068',SRBL,40,49,93,268,24924.00
5310,'2020102901023067',EIC,39,58,112,538,60256.00
5311,'2020102901023066',EIC,39,17,190,538,102220.00
5312,'2020102901023065',EIC,39,29,28,538,15064.00
5313,'2020102903008618',DDBL,5,35,100,912,91200.00
5314,'2020102903008617',GMFIL,26,32,41,185,7585.00
5315,'2020102903008616',GMFIL,38,32,4300,186,799800.00
5316,'2020102901023064',ADBL,41,34,108,473,51084.00
5317,'2020102901023063',CBL,19,58,81,177,14337.00
5318,'2020102901023062',CBL,49,58,108,177,19116.00
5319,'2020102903008615',SFCL,13,19,500,139,69500.00
5320,'2020102903008614',SFCL,20,19,250,139,34750.00
5321,'2020102903008613',SFCL,45,19,100,139,13900.00
5322,'2020102903008612',SFCL,39,19,50,139,6950.00
5323,'2020102903008611',SLBSL,55,34,13,758,9854.00
5324,'2020102903008610',RMDC,4,58,484,870,421080.00
5325,'2020102903008609',RMDC,4,58,67,870,58290.00
5326,'2020102901023061',HDHPC,36,42,30,140,4200.00
5327,'2020102901023060',NLG,25,34,50,718,35900.00
5328,'2020102901023059',HGI,51,8,20,512,10240.00
5329,'2020102901023058',HGI,51,17,170,512,87040.00
5330,'2020102903008608',HIDCL,7,8,500,203,101500.00
5331,'2020102901023057',ADBL,43,28,50,472,23600.00
5332,'2020102903008607',LBBL,17,42,100,226,22600.00
5333,'2020102903008606',LBBL,17,21,500,226,113000.00
5334,'2020102904004499',GIC,45,17,10,561,5610.00
5335,'2020102903008605',RLI,25,48,10,591,5910.00
5336,'2020102904004498',GIC,45,40,10,561,5610.00
5337,'2020102903008604',ALICL,34,5,100,737,73700.00
5338,'2020102903008603',NRN,6,45,100,347,34700.00
